titulo,data,avaliacao,sumario
Winnie the Pooh: Blood and Honey,"Releases April 17, 2023",8,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food."
O Urso do Pó Branco,"Releases March 30, 2023",2,"An oddball group of cops, criminals, tourists and teens converge on a Georgia forest where a huge black bear goes on a murderous rampage after unintentionally ingesting cocaine."
The Flash,"Expected June 16, 2023",25,"Barry Allen uses his super speed to change the past, but his attempt to save his family creates a world without super heroes, forcing him to race for his life in order to save the future."
John Wick 4: Baba Yaga,"Releases March 23, 2023",30,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
A Pequena Sereia,"Releases May 26, 2023",32,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince."
Pânico VI,"Releases March 9, 2023",42,"In the next installment, the survivors of the Ghostface killings leave Woodsboro behind and start a fresh chapter in New York City."
O Estrangulador de Boston,"Releases March 17, 2023",49,Loretta McLaughlin was the reporter who first connected the murders and broke the story of the Boston Strangler. She and Jean Cole challenged the sexism of the early 1960s to report on the city's most notorious serial killer.
Tetris,"Releases March 31, 2023",55,"The story of how one of the world's most popular video games found its way to players around the globe. Businessman Henk Rogers and Tetris inventor Alexey Pajitnov join forces in the USSR, risking it all to bring Tetris to the masses."
Super Mario Bros. O Filme,"Releases April 5, 2023",58,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom
Velozes e Furiosos 10,"Releases May 19, 2023",65,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
65 - Ameaça Pré-Histórica,"Releases March 9, 2023",63,An astronaut crash lands on a mysterious planet only to discover he's not alone.
Guardiões da Galáxia Vol. 3,"Releases May 5, 2023",68,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
Air: A História Por Trás do Logo,"Releases April 5, 2023",72,"Follows the history of shoe salesman Sonny Vaccaro, and how he led Nike in its pursuit of the greatest athlete in the history of basketball: Michael Jordan."
Dungeons & Dragons: Honra Entre Rebeldes,"Releases May 17, 2023",88,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
